Id,CreationDate,PostId,RelatedPostId,LinkTypeId
74640,2010-10-12 13:03,3458,2410,1
74930,2010-10-12 16:05,1062,1045,1
76682,2010-10-13 14:20,3526,1133,1
78440,2010-10-14 9:00,1441,1430,1
79545,2010-10-14 19:09,3599,3561,1
80174,2010-10-15 6:16,3586,359,1
80535,2010-10-15 12:27,3549,3561,1
80633,2010-10-15 14:41,3589,328,1
80923,2010-10-15 16:34,3383,2067,1
81335,2010-10-15 19:15,3324,563,1
81650,2010-10-15 20:56,1610,22,1
82884,2010-10-17 7:46,3542,3158,1
83998,2010-10-18 7:17,3661,1015,1
83999,2010-10-18 7:17,3661,527,1
85270,2010-10-18 21:01,3685,2597,1
86097,2010-10-19 6:44,1224,499,1
86853,2010-10-19 12:15,973,7,1
86903,2010-10-19 12:39,3194,30,1
87342,2010-10-19 15:02,3713,3685,1
87463,2010-10-19 15:38,499,3200,1
87464,2010-10-19 15:38,499,3252,1
87465,2010-10-19 15:39,3101,685,1
88210,2010-10-19 20:11,3746,213,1
88211,2010-10-19 20:11,3746,2493,1
89036,2010-10-20 7:14,1015,3661,1
89037,2010-10-20 7:14,1015,3539,1
90125,2010-10-20 15:51,3752,3556,1
90394,2010-10-20 17:34,3762,1015,1
91229,2010-10-20 22:08,3810,539,1
91230,2010-10-20 22:08,3810,548,1
91231,2010-10-20 22:08,3704,3653,1
92603,2010-10-21 13:06,3463,3115,1
92604,2010-10-21 13:06,3463,1881,1
92726,2010-10-21 14:19,3556,3752,1
92801,2010-10-21 15:08,3845,3708,1
94250,2010-10-22 7:59,3822,3672,1
95316,2010-10-22 16:08,3069,1595,1
95485,2010-10-22 17:04,3814,3460,1
95486,2010-10-22 17:04,3814,499,1
95584,2010-10-22 18:08,3879,3842,1
96141,2010-10-23 1:35,1337,423,1
96168,2010-10-23 2:40,3818,206,1
97223,2010-10-23 21:20,3734,643,1
97538,2010-10-24 5:13,3911,1611,1
98127,2010-10-24 15:40,3926,575,1
98128,2010-10-24 15:40,3926,1266,1
98157,2010-10-24 15:57,3943,3730,1
98752,2010-10-24 23:15,3958,3,1
98753,2010-10-24 23:15,3958,73,1
98754,2010-10-24 23:15,3958,1676,1
100255,2010-10-26 6:40,2032,652,1
100497,2010-10-26 9:16,1576,612,1
100498,2010-10-26 9:16,1576,2742,1
100499,2010-10-26 9:16,1576,3369,1
101352,2010-10-26 16:52,3893,3252,1
101476,2010-10-26 18:29,3907,3611,1
101669,2010-10-26 20:57,3999,2691,1
101936,2010-10-27 7:47,4013,665,1
102009,2010-10-27 9:13,4009,1015,1
102058,2010-10-27 10:02,3989,4017,1
104677,2010-10-31 22:06,4093,222,1
106296,2010-11-02 19:53,4142,4146,1
106602,2010-11-03 9:09,4150,899,1
112612,2010-11-04 20:10,2576,2401,1
116088,2010-11-05 13:26,4172,859,1
122839,2010-11-07 21:23,4298,4220,1
122840,2010-11-07 21:23,4298,3316,1
123791,2010-11-08 13:03,4312,4175,1
124142,2010-11-08 17:07,4175,4312,1
126543,2010-11-09 20:19,4364,4354,1
126569,2010-11-09 20:20,4354,4364,1
131345,2010-11-12 1:05,4466,1980,1
131371,2010-11-12 1:06,1980,4466,1
132522,2010-11-12 18:35,4485,3207,1
132523,2010-11-12 18:35,4485,2917,1
134924,2010-11-15 0:04,4500,4530,1
136400,2010-11-16 1:24,4568,4539,1
136426,2010-11-16 1:27,4569,939,1
137577,2010-11-17 2:04,4606,4298,1
142554,2010-11-19 12:53,4708,2492,1
142955,2010-11-19 18:55,4734,1576,1
143731,2010-11-20 7:22,4753,4267,1
148507,2010-11-23 22:12,4839,3270,1
149433,2010-11-24 8:17,4854,4272,1
149909,2010-11-24 15:23,4877,138,1
151785,2010-11-26 2:28,4914,834,1
151811,2010-11-26 2:38,4914,577,1
151812,2010-11-26 2:49,4914,3392,1
153113,2010-11-26 20:40,4949,4942,1
153839,2010-11-27 21:53,118,354,1
154340,2010-11-28 16:10,4970,4766,1
156886,2010-11-30 11:26,5026,1521,1
156887,2010-11-30 11:26,5026,6,1
159238,2010-12-02 10:32,5078,1797,1
160039,2010-12-03 5:23,5097,5093,1
168040,2010-12-06 10:30,5181,5107,1
170516,2010-12-06 21:08,5191,5011,1
175642,2010-12-08 10:43,5249,5238,1
175668,2010-12-08 10:44,5238,5249,1
180594,2010-12-09 18:55,5306,3702,1
181695,2010-12-10 10:45,5333,5171,1
182821,2010-12-10 20:34,5359,1576,1
185122,2010-12-12 8:57,5382,1848,1
189248,2010-12-14 3:00,5450,5184,1
189774,2010-12-14 12:01,5465,4768,1
190875,2010-12-14 21:37,4991,2149,1
191901,2010-12-15 16:18,5517,152,1
193027,2010-12-16 1:07,5542,1,1
193228,2010-12-16 3:31,5542,5181,1
195354,2010-12-17 2:04,5560,3194,1
195380,2010-12-17 5:14,5572,3466,1
199681,2010-12-20 8:12,5591,1164,1
203933,2010-12-22 19:16,5700,2432,1
204934,2010-12-23 16:59,4172,527,1
206110,2010-12-24 9:22,5724,4334,1
208111,2010-12-26 0:13,5750,5747,1
208962,2010-12-26 20:51,5728,4830,1
213138,2010-12-30 15:28,5819,4220,1
214739,2010-12-31 13:17,4551,5808,1
217790,2011-01-03 13:13,5912,2234,1
218142,2011-01-03 15:39,5912,6,1
218418,2011-01-03 19:02,5918,2306,1
227119,2011-01-06 14:09,6033,5700,1
229245,2011-01-07 1:23,6050,5360,1
231296,2011-01-07 17:01,6066,6050,1
231322,2011-01-07 17:27,6063,4551,1
233298,2011-01-08 11:26,6081,2492,1
233299,2011-01-08 11:26,6081,2824,1
235025,2011-01-09 0:52,6093,421,1
240104,2011-01-10 20:55,6139,5750,1
240605,2011-01-10 23:23,6147,5504,1
242507,2011-01-11 20:39,6169,3921,1
246510,2011-01-13 16:56,6226,5686,1
246936,2011-01-13 19:34,6219,6039,1
247062,2011-01-13 20:38,6234,3158,1
247213,2011-01-13 22:33,6151,3006,1
248389,2011-01-14 12:51,6234,4211,1
248665,2011-01-14 15:07,6243,6096,1
255817,2011-01-18 12:42,6302,6268,1
255868,2011-01-18 13:45,6337,6127,1
256019,2011-01-18 15:08,6342,6337,1
258145,2011-01-19 14:03,6353,2619,1
258646,2011-01-19 18:21,6379,5171,1
259772,2011-01-20 3:11,6400,6308,1
260323,2011-01-20 11:14,6355,6314,1
261149,2011-01-20 22:36,6418,6358,1
261475,2011-01-21 3:00,6421,1883,1
262101,2011-01-21 16:05,6433,5347,1
263953,2011-01-22 19:55,6454,3652,1
265604,2011-01-23 21:02,6475,5617,1
266830,2011-01-24 9:14,6478,5443,1
267056,2011-01-24 13:23,6487,4030,1
268357,2011-01-25 7:17,6499,5782,1
269533,2011-01-25 19:03,6538,414,1
269759,2011-01-25 20:19,1875,2275,1
272210,2011-01-26 23:48,6599,5196,1
272286,2011-01-27 3:57,6601,155,1
272512,2011-01-27 10:46,6604,4517,1
273064,2011-01-27 16:41,2272,2182,1
273990,2011-01-28 3:21,6652,2356,1
274591,2011-01-28 13:42,2641,665,1
274592,2011-01-28 13:49,6664,5700,1
274968,2011-01-28 21:58,6670,168,1
276844,2011-01-30 23:25,2356,6493,1
277470,2011-01-31 15:02,6652,1525,1
277496,2011-01-31 16:41,6753,798,1
277572,2011-01-31 17:09,6753,5573,1
278798,2011-02-02 5:37,2356,2272,1
279749,2011-02-03 3:21,6814,1028,1
279950,2011-02-03 8:54,6807,6780,1
280001,2011-02-03 10:08,2742,6575,1
280202,2011-02-03 15:32,6840,6814,1
281653,2011-02-04 12:53,4350,2981,1
282204,2011-02-04 15:33,6883,6856,1
282255,2011-02-04 15:41,6867,5504,1
282331,2011-02-04 17:22,6876,6807,1
283507,2011-02-06 23:43,6943,3890,1
283783,2011-02-07 7:21,6950,6856,1
283784,2011-02-07 7:21,6950,1812,1
284385,2011-02-07 18:09,6966,1164,1
284411,2011-02-07 18:20,6967,6856,1
284887,2011-02-08 2:24,6976,1980,1
284963,2011-02-08 4:09,6978,6920,1
287515,2011-02-10 12:45,2492,7022,1
287591,2011-02-10 15:02,2492,2516,1
288492,2011-02-11 4:46,6225,3038,1
288619,2011-02-11 7:49,7074,6455,1
288670,2011-02-11 9:09,7084,7022,1
288671,2011-02-11 9:09,7084,2,1
288672,2011-02-11 9:09,7084,2492,1
290023,2011-02-12 9:00,7100,4239,1
290049,2011-02-12 12:45,7112,6478,1
290725,2011-02-13 9:11,7110,812,1
291076,2011-02-13 19:04,7152,1444,1
291077,2011-02-13 19:30,7155,213,1
291078,2011-02-13 19:30,7155,1444,1
291079,2011-02-13 19:34,7153,2770,1
291930,2011-02-14 8:29,7190,4023,1
291931,2011-02-14 8:32,7139,2245,1
292882,2011-02-15 0:38,7225,2121,1
294059,2011-02-15 18:50,7258,7209,1
295635,2011-02-16 18:01,7293,2615,1
295811,2011-02-16 20:04,7307,2547,1
295887,2011-02-16 21:18,7313,7115,1
295913,2011-02-16 21:19,7115,7313,1
296539,2011-02-17 13:19,1432,1412,1
297015,2011-02-17 17:54,7336,3532,1
297066,2011-02-17 18:18,7268,980,1
300143,2011-02-20 22:12,7426,7040,1
301369,2011-02-21 13:51,7450,6780,1
302320,2011-02-22 2:53,7476,2917,1
303321,2011-02-22 15:52,7505,4884,1
304047,2011-02-23 2:08,7476,7426,1
305448,2011-02-24 0:34,7528,7426,1
306149,2011-02-24 12:43,7546,5344,1
306175,2011-02-24 13:20,7521,6330,1
307227,2011-02-25 11:02,7610,3458,1
307478,2011-02-25 16:28,7613,2467,1
307729,2011-02-25 22:48,7638,3623,1
307880,2011-02-26 1:51,7637,3614,1
311781,2011-02-26 15:05,4383,4239,1
319107,2011-02-26 23:25,7668,6795,1
321258,2011-02-27 3:38,6907,7630,1
321259,2011-02-27 3:43,7630,6907,1
327210,2011-02-27 14:09,7675,3874,1
346836,2011-03-01 3:31,7732,7727,1
358039,2011-03-03 11:33,7742,4978,1
358590,2011-03-03 17:01,7829,6763,1
359916,2011-03-04 7:43,7865,7319,1
360117,2011-03-04 11:46,7813,256,1
360293,2011-03-04 15:52,7845,798,1
360294,2011-03-04 15:58,7845,4810,1
360495,2011-03-04 19:06,5733,7515,1
362647,2011-03-05 22:02,7912,7630,1
362648,2011-03-05 22:02,7912,6907,1
362974,2011-03-06 9:29,7923,203,1
362975,2011-03-06 9:56,7919,4612,1
365051,2011-03-07 16:00,7815,2516,1
365052,2011-03-07 16:01,2516,7815,1
365053,2011-03-07 16:05,7959,346,1
367429,2011-03-08 15:34,8021,7977,1
367530,2011-03-08 16:31,8025,1773,1
368081,2011-03-08 20:28,8033,5504,1
368157,2011-03-08 21:08,8029,5913,1
369233,2011-03-09 12:14,8071,3730,1
369759,2011-03-09 17:09,8063,3730,1
370960,2011-03-10 10:39,8103,7258,1
372637,2011-03-11 10:29,8147,5347,1
373613,2011-03-11 18:50,8168,2910,1
373864,2011-03-11 21:25,8159,5026,1
374090,2011-03-12 0:04,8185,7975,1
374316,2011-03-12 5:41,8180,2469,1
374517,2011-03-12 9:27,8196,8192,1
375168,2011-03-12 19:01,8185,7376,1
375344,2011-03-12 20:42,8196,7853,1
375745,2011-03-13 6:24,7853,8196,1
376121,2011-03-13 12:15,8225,138,1
376522,2011-03-13 15:25,8239,8232,1
376548,2011-03-13 15:26,8232,8239,1
376574,2011-03-13 15:41,8239,1761,1
377100,2011-03-13 22:57,8246,5534,1
377726,2011-03-14 11:35,8237,5135,1
379403,2011-03-15 5:44,8299,2828,1
379829,2011-03-15 9:55,8300,5750,1
380555,2011-03-15 15:07,8321,4099,1
380581,2011-03-15 15:38,8321,8237,1
381257,2011-03-15 22:12,8328,6364,1
381633,2011-03-16 3:52,7996,8340,1
382734,2011-03-16 16:01,8340,7996,1
382860,2011-03-16 16:17,8358,8187,1
383486,2011-03-16 22:54,8377,652,1
383512,2011-03-17 0:22,8377,170,1
383688,2011-03-17 2:56,8157,8021,1
383814,2011-03-17 4:05,8335,8358,1
385890,2011-03-18 0:09,8380,7772,1
386716,2011-03-18 11:36,8347,8419,1
387743,2011-03-19 0:23,8470,8419,1
387994,2011-03-19 4:38,8446,7542,1
388020,2011-03-19 4:48,8470,4220,1
388521,2011-03-19 12:37,8483,3386,1
389222,2011-03-20 0:47,8455,2906,1
389723,2011-03-20 10:52,8511,3559,1
390274,2011-03-20 21:25,8524,5171,1
390575,2011-03-21 5:56,8557,8513,1
390576,2011-03-21 7:48,8559,8236,1
392452,2011-03-22 6:18,8581,485,1
392478,2011-03-22 7:10,8586,841,1
392479,2011-03-22 7:36,8604,3400,1
392505,2011-03-22 7:39,8566,7813,1
392656,2011-03-22 9:17,8614,7238,1
392758,2011-03-22 11:18,8617,8358,1
393811,2011-03-22 23:34,8634,7630,1
393812,2011-03-22 23:34,8634,6907,1
394663,2011-03-23 11:27,8661,4832,1
398667,2011-03-25 14:57,8769,3947,1
398918,2011-03-25 17:42,8777,1708,1
399319,2011-03-26 1:07,8784,8718,1
400020,2011-03-26 16:01,8799,8797,1
400796,2011-03-27 2:11,8791,6498,1
401072,2011-03-27 9:09,7430,8104,1
401073,2011-03-27 9:09,7430,8477,1
404049,2011-03-28 15:37,8877,8846,1
404050,2011-03-28 15:37,8877,3634,1
410701,2011-03-29 13:38,8891,6195,1
419927,2011-03-30 10:41,8956,10,1
419928,2011-03-30 10:41,8956,8071,1
419929,2011-03-30 10:41,8956,3730,1
421655,2011-03-30 14:09,8960,8662,1
426956,2011-03-30 23:00,8972,1399,1
427407,2011-03-30 23:49,8987,8899,1
432659,2011-03-31 14:35,9009,1444,1
432660,2011-03-31 14:35,9009,298,1
434586,2011-03-31 19:03,6498,8955,1
435137,2011-03-31 20:17,8036,7467,1
435688,2011-03-31 22:01,9020,7419,1
435914,2011-03-31 22:47,9022,4364,1
437015,2011-04-01 3:04,9027,8502,1
442842,2011-04-01 16:52,9050,2086,1
443668,2011-04-01 19:29,9050,8370,1
447319,2011-04-02 10:20,9074,8370,1
447320,2011-04-02 10:20,9074,7419,1
447396,2011-04-02 10:27,9074,6890,1
448922,2011-04-02 16:43,9062,8774,1
450198,2011-04-03 1:32,5690,6601,1
457826,2011-04-05 13:11,9192,5918,1
458678,2011-04-05 18:00,9213,8742,1
458679,2011-04-05 18:02,9215,1521,1
461880,2011-04-06 14:41,9201,6127,1
462431,2011-04-06 19:25,9278,5092,1
462632,2011-04-06 20:54,9280,9131,1
465408,2011-04-07 17:12,9292,8570,1
465910,2011-04-07 21:51,9327,486,1
466386,2011-04-08 2:45,9333,8586,1
470738,2011-04-09 14:27,9381,9208,1
470789,2011-04-09 15:24,9383,8025,1
471390,2011-04-09 23:26,9377,9396,1
472091,2011-04-10 9:40,2715,8844,1
472617,2011-04-10 15:07,9311,4,1
472618,2011-04-10 15:09,4,9311,1
474519,2011-04-11 14:59,9435,9040,1
474520,2011-04-11 15:04,9427,4220,1
476146,2011-04-12 4:16,9454,203,1
476672,2011-04-12 7:48,9464,4756,1
476698,2011-04-12 8:21,9467,9341,1
476724,2011-04-12 8:22,9341,9467,1
476875,2011-04-12 10:15,9449,6309,1
477351,2011-04-12 15:23,9475,3331,1
477352,2011-04-12 15:23,9475,2777,1
477353,2011-04-12 15:23,9475,3238,1
477629,2011-04-12 17:30,9478,8285,1
477630,2011-04-12 17:33,9478,1112,1
477681,2011-04-12 18:37,6309,9464,1
480132,2011-04-13 17:28,9510,5347,1
481283,2011-04-14 5:58,9544,9341,1
481659,2011-04-14 10:55,9536,7,1
482486,2011-04-14 18:52,8007,7531,1
482862,2011-04-15 1:36,9501,7200,1
483263,2011-04-15 7:02,9573,2492,1
483264,2011-04-15 7:23,9573,1386,1
483790,2011-04-15 15:13,9587,9508,1
487966,2011-04-18 9:28,9667,6275,1
488717,2011-04-18 16:56,9691,9629,1
489093,2011-04-18 19:23,9691,1133,1
489144,2011-04-18 19:29,9691,9685,1
491671,2011-04-19 18:46,9759,5344,1
491722,2011-04-19 20:00,9759,8689,1
493123,2011-04-20 14:35,9775,6005,1
494824,2011-04-21 5:57,9795,9398,1
495825,2011-04-21 16:31,9835,9809,1
496076,2011-04-21 18:53,9841,9797,1
496802,2011-04-22 2:51,9852,8918,1
498103,2011-04-22 12:58,9842,8000,1
498679,2011-04-22 20:15,9871,9590,1
500980,2011-04-24 7:30,9920,4009,1
502881,2011-04-25 12:57,9852,1149,1
505207,2011-04-26 11:49,9987,9573,1
505208,2011-04-26 11:49,9987,7155,1
505334,2011-04-26 14:11,9972,9358,1
506310,2011-04-27 0:16,10013,4030,1
506311,2011-04-27 0:16,10013,6487,1
508012,2011-04-27 18:37,10049,9398,1
508413,2011-04-27 19:58,10055,10005,1
508739,2011-04-27 21:48,10005,10055,1
510390,2011-04-28 8:39,10078,9068,1
511866,2011-04-28 15:08,10088,2597,1
513417,2011-04-28 19:12,10088,9016,1
513418,2011-04-28 19:12,10088,3685,1
513419,2011-04-28 19:12,10088,3713,1
514720,2011-04-28 22:32,10086,30,1
514746,2011-04-28 22:34,10086,40,1
514772,2011-04-28 22:43,10117,242,1
518398,2011-04-29 6:24,10137,10079,1
522676,2011-04-29 21:17,10155,9330,1
526352,2011-04-30 8:01,10162,8000,1
526353,2011-04-30 8:01,10162,9842,1
527254,2011-04-30 9:41,10169,9685,1
533130,2011-05-01 9:28,10191,5617,1
535831,2011-05-01 20:05,10213,8485,1
539957,2011-05-02 8:14,10230,2597,1
542008,2011-05-02 13:50,10238,10030,1
542934,2011-05-02 16:01,10180,9735,1
546285,2011-05-03 13:18,9735,2356,1
547886,2011-05-03 20:40,10121,2746,1
548137,2011-05-03 22:22,10295,9885,1
548163,2011-05-03 22:35,10289,9137,1
548164,2011-05-03 22:35,10289,9358,1
549065,2011-05-04 15:15,10316,3628,1
549066,2011-05-04 15:15,10316,8106,1
549067,2011-05-04 15:15,10316,6740,1
550493,2011-05-05 5:59,10337,5782,1
550794,2011-05-05 8:11,10343,3931,1
551145,2011-05-05 10:03,10347,6890,1
551421,2011-05-05 12:55,10355,7902,1
553347,2011-05-06 7:33,10377,2910,1
554848,2011-05-06 17:17,10425,8807,1
556099,2011-05-07 1:29,10450,10121,1
556850,2011-05-07 13:59,10463,8130,1
565551,2011-05-10 12:20,10539,7959,1
568302,2011-05-10 17:07,8738,10604,1
568303,2011-05-10 17:09,10604,8738,1
568529,2011-05-10 17:29,10608,3458,1
569905,2011-05-10 20:23,10619,10594,1
570006,2011-05-10 20:50,9299,277,1
571982,2011-05-11 1:15,10631,10363,1
573833,2011-05-11 12:29,73,1676,1
576234,2011-05-11 22:48,10669,7815,1
577160,2011-05-12 5:15,10687,534,1
581836,2011-05-13 7:23,10727,5782,1
582488,2011-05-13 12:43,7815,10363,1
589789,2011-05-16 13:12,10838,8243,1
590190,2011-05-16 14:46,10856,6304,1
594018,2011-05-18 5:06,10926,5206,1
594369,2011-05-18 7:45,10928,10613,1
596723,2011-05-19 10:43,10964,2230,1
596974,2011-05-19 13:00,10953,6127,1
597275,2011-05-19 15:12,10964,10789,1
597776,2011-05-19 17:12,10981,9220,1
598127,2011-05-19 20:27,10977,5081,1
598853,2011-05-20 2:47,2230,10964,1
599604,2011-05-20 9:38,11019,10387,1
599830,2011-05-20 13:46,11033,2335,1
600456,2011-05-20 19:34,11049,213,1
600832,2011-05-20 22:33,11000,6731,1
602058,2011-05-21 15:28,11009,10510,1
603834,2011-05-22 14:21,11079,11113,1
605210,2011-05-23 1:59,11141,11123,1
605411,2011-05-23 5:03,11145,534,1
605412,2011-05-23 5:03,11145,3400,1
606663,2011-05-23 20:19,11165,8662,1
607589,2011-05-24 7:58,11178,8661,1
608391,2011-05-24 16:16,11186,2432,1
608842,2011-05-24 21:57,11210,9664,1
610218,2011-05-25 13:44,11232,6350,1
610219,2011-05-25 13:44,11232,1637,1
610220,2011-05-25 13:44,11232,6127,1
610221,2011-05-25 13:44,11232,10953,1
610322,2011-05-25 16:02,11220,173,1
611398,2011-05-26 5:17,11259,11256,1
612274,2011-05-26 12:38,11270,8300,1
614200,2011-05-27 11:00,206,539,1
616126,2011-05-28 13:54,11328,11079,1
616127,2011-05-28 13:54,11328,11113,1
621328,2011-05-29 21:17,11351,11315,1
626704,2011-05-30 17:33,11277,4445,1
629780,2011-05-30 21:18,11375,11009,1
631306,2011-05-31 0:43,11381,4713,1
636657,2011-05-31 21:06,11411,3115,1
636758,2011-05-31 22:03,11412,11381,1
637384,2011-06-01 0:47,11413,8738,1
638585,2011-06-01 7:59,11418,9739,1
640787,2011-06-01 15:57,11433,11420,1
641013,2011-06-01 16:42,11436,6314,1
641039,2011-06-01 16:44,6314,11436,1
643290,2011-06-02 3:13,11458,10947,1
646416,2011-06-02 15:46,11370,11448,1
648842,2011-06-03 5:22,11459,3466,1
650193,2011-06-03 14:08,11500,9358,1
652144,2011-06-04 4:23,11543,2547,1
655545,2011-06-05 7:23,11582,11548,1
656121,2011-06-05 12:00,11590,3559,1
656747,2011-06-05 14:44,11595,11182,1
658798,2011-06-05 22:41,11609,6652,1
662224,2011-06-06 18:52,9693,2379,1
663025,2011-06-07 3:17,11650,11102,1
664051,2011-06-07 12:11,11662,10347,1
665177,2011-06-07 20:20,11659,7467,1
665328,2011-06-07 22:31,11687,6481,1
665929,2011-06-08 4:41,11680,577,1
666405,2011-06-08 9:26,11691,9671,1
666506,2011-06-08 10:00,11703,11182,1
667132,2011-06-08 12:56,11703,11595,1
667208,2011-06-08 13:02,11713,11628,1
668259,2011-06-08 16:13,11722,10407,1
668535,2011-06-08 18:57,11609,22,1
670586,2011-06-09 7:32,11746,8071,1
670587,2011-06-09 7:32,11746,3730,1
670988,2011-06-09 9:30,11749,11414,1
675664,2011-06-10 7:27,11769,22,1
684491,2011-06-11 20:25,11833,2691,1
684492,2011-06-11 20:29,11836,3650,1
687118,2011-06-12 16:26,11609,2356,1
694594,2011-06-14 13:31,11899,5502,1
694595,2011-06-14 13:31,11899,11372,1
694771,2011-06-14 14:18,11899,3006,1
694972,2011-06-14 16:07,11628,11713,1
695098,2011-06-14 17:17,11359,11436,1
700150,2011-06-15 23:05,11959,1576,1
